Region,Customer_Segment,Product_Category,Product_Sub-Category,Sales,Profit,Total_Sales,Total_Profit,Sub-Category_Sales_%,Sub-Category_Profit_%
Atlantic,Consumer,Furniture,Office Furnishings,678.77,43.83999999999999,3434.94,-1517.88,19.76075273512783,-69.44657955418911
Atlantic,Consumer,Furniture,Tables,2756.17,-1561.72,3434.94,-1517.88,80.23924726487218,134.54439808206146
Atlantic,Consumer,Office Supplies,Appliances,8745.71,3580.43,31471.11,2940.71,27.789645805311597,34.90218147212767
Atlantic,Consumer,Office Supplies,Binders And Binder Accessories,2372.2,-201.67000000000002,31471.11,2940.71,7.537706804748863,9.157707502891874
Atlantic,Consumer,Office Supplies,Envelopes,92.06,5.66,31471.11,2940.71,0.29252225294881556,39.52459265302837
Atlantic,Consumer,Office Supplies,Labels,241.79,85.28,31471.11,2940.71,0.7682919350477311,51.317699844079755
Atlantic,Consumer,Office Supplies,Paper,8131.97,1807.26,31471.11,2940.71,25.839476268870087,20.142780464606634
Atlantic,Consumer,Office Supplies,Storage & Organization,11887.380000000001,-2336.25,31471.11,2940.71,37.772356933072906,42.403767802365586
Atlantic,Consumer,Technology,Computer Peripherals,985.69,46.28,9553.178,762.8499999999999,10.317927709501488,37.45345173302779
Atlantic,Consumer,Technology,Office Machines,1337.1499999999999,-141.94,9553.178,762.8499999999999,13.996912859783414,1.340986651278504
Atlantic,Consumer,Technology,Telephones And Communication,7230.338000000001,858.51,9553.178,762.8499999999999,75.6851594307151,10.407264028004418
Atlantic,Corporate,Furniture,Office Furnishings,22432.78,1461.49,29126.06,1501.8100000000002,77.01961748344952,88.25174932071708
Atlantic,Corporate,Furniture,Tables,6693.28,40.32,29126.06,1501.8100000000002,22.980382516550467,8.01580957456257
Atlantic,Corporate,Office Supplies,Appliances,13027.85,2137.89,42326.52,6481.8,30.779402606214735,1.6825187193240572
Atlantic,Corporate,Office Supplies,Binders And Binder Accessories,18178.739999999998,4248.05,42326.52,6481.8,42.94881790423592,90.30167170611337
Atlantic,Corporate,Office Supplies,Envelopes,2231.3,555.3199999999999,42326.52,6481.8,5.271635844383145,20.866219185069458
Atlantic,Corporate,Office Supplies,Labels,171.94,51.71,42326.52,6481.8,0.40622285980515294,18.38079644743559
Atlantic,Corporate,Office Supplies,Paper,7463.11,104.90999999999991,42326.52,6481.8,17.632231518206552,60.75298436749495
Atlantic,Corporate,Office Supplies,Storage & Organization,1253.58,-616.0799999999999,42326.52,6481.8,2.9616892671544934,75.51440493381948
Atlantic,Corporate,Technology,Computer Peripherals,14070.83,1288.96,119612.756,8415.8,11.763653368207653,24.48559506618052
Atlantic,Corporate,Technology,Copiers And Fax,50927.46,-5391.59,119612.756,8415.8,42.576947227936124,2.6237506189040474
Atlantic,Corporate,Technology,Office Machines,7525.18,2611.32,119612.756,8415.8,6.291285521420475,93.74776087560332
Atlantic,Corporate,Technology,Telephones And Communication,47089.286,9907.11,119612.756,8415.8,39.36811388243575,3.628488505492648
Atlantic,Home Office,Furniture,Chairs & Chairmats,4896.93,1467.82,5000.83,1448.56,97.92234489074815,100.0
Atlantic,Home Office,Furniture,Office Furnishings,103.9,-19.26,5000.83,1448.56,2.0776551092518645,350.12358946802783
Atlantic,Home Office,Office Supplies,Binders And Binder Accessories,7608.88,3049.45,7608.88,3049.45,100.0,-486.67562242521916
Atlantic,Home Office,Technology,Computer Peripherals,360.24,-36.24,9587.2195,2693.45,3.757502370734289,236.55203295719141
Atlantic,Home Office,Technology,Telephones And Communication,9226.9795,2729.69,9587.2195,2693.45,96.24249762926571,100.0
Atlantic,Small Business,Furniture,Office Furnishings,684.66,35.09,684.66,35.09,100.0,100.0
Atlantic,Small Business,Office Supplies,Paper,1128.6599999999999,272.33,1128.6599999999999,272.33,100.0,8.705288902476305
Atlantic,Small Business,Technology,Copiers And Fax,4429.69,983.55,11670.287499999999,2309.31,37.95699120522952,-9.996942830938538
Atlantic,Small Business,Technology,Telephones And Communication,7240.5975,1325.76,11670.287499999999,2309.31,62.04300879477048,101.29165392846222
Northwest Territories,Consumer,Furniture,Office Furnishings,6743.91,830.3,6743.91,830.3,100.0,3.0944974913406824
Northwest Territories,Consumer,Office Supplies,Binders And Binder Accessories,800.89,-132.95000000000002,5523.71,174.27999999999997,14.499131924014838,44.918581738480235
Northwest Territories,Consumer,Office Supplies,Paper,1673.58,-338.31,5523.71,174.27999999999997,30.298114853965902,51.98692077017908
Northwest Territories,Consumer,Office Supplies,Storage & Organization,3049.24,645.54,5523.71,174.27999999999997,55.202753222019254,35.66631908237748
Northwest Territories,Consumer,Technology,Computer Peripherals,849.09,-176.14,26825.7245,9353.7,3.1652080822644693,64.33368091762252
Northwest Territories,Consumer,Technology,Office Machines,16066.85,7416.43,26825.7245,9353.7,59.89344295249137,100.0
Northwest Territories,Consumer,Technology,Telephones And Communication,9909.7845,2113.4100000000003,26825.7245,9353.7,36.94134896524417,-1.3794289645682831
Northwest Territories,Corporate,Furniture,Chairs & Chairmats,31135.25,9050.27,44324.69,10521.67,70.24358207581372,-34.22428620571033
Northwest Territories,Corporate,Furniture,Office Furnishings,13189.44,1471.3999999999999,44324.69,10521.67,29.756417924186273,135.60371517027858
Northwest Territories,Corporate,Office Supplies,Appliances,12589.17,3734.32,54757.43,9268.41,22.990797778493256,16.559975651497084
Northwest Territories,Corporate,Office Supplies,Binders And Binder Accessories,24781.510000000002,7977.0199999999995,54757.43,9268.41,45.256890252153916,-20.654316121403234
Northwest Territories,Corporate,Office Supplies,Envelopes,2230.33,368.44,54757.43,9268.41,4.073109347900368,104.09434046990613
Northwest Territories,Corporate,Office Supplies,Labels,1357.76,501.13,54757.43,9268.41,2.4795904409684675,44.951837317160184
Northwest Territories,Corporate,Office Supplies,Paper,1692.59,-535.78,54757.43,9268.41,3.091069102403089,55.04816268283981
Northwest Territories,Corporate,Office Supplies,Storage & Organization,12106.07,-2776.7200000000003,54757.43,9268.41,22.10854307808091,90.35973985456815
Northwest Territories,Corporate,Technology,Computer Peripherals,7298.63,-554.02,124317.41100000001,30634.339999999997,5.8709636416093,39.676978089227006
Northwest Territories,Corporate,Technology,Copiers And Fax,30003.850000000002,9715.83,124317.41100000001,30634.339999999997,24.134873593852433,-30.03671794379515
Northwest Territories,Corporate,Technology,Office Machines,32114.230000000003,9092.0,124317.41100000001,30634.339999999997,25.83244755636039,4.681985373663942
Northwest Territories,Corporate,Technology,Telephones And Communication,54900.701,12380.529999999999,124317.41100000001,30634.339999999997,44.161715208177874,61.609589337487556
Northwest Territories,Home Office,Furniture,Chairs & Chairmats,905.94,-4.19,4628.23,946.4899999999999,19.574221678697906,33.7084252888485
Northwest Territories,Home Office,Furniture,Office Furnishings,3722.29,950.68,4628.23,946.4899999999999,80.4257783213021,-2.1375131863860974
